project,mda_code,mda_name,lga_code,lga_name,econ_code,econ_name,func_code,func_name,amt_2024_actual,amt_2025_revised,amt_2025_perf_jan_sep,amt_2026_approved,source_page,page_y_top,page_y_bottom
Renovation of Assembly Service Commission Complex,011200400100,State House Of Assembly Service Commission,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,5000000.0,0.0,5000000.0,70,0.2418,0.256
Purchase of 4nos of plasma TV and 5nos of Refrigerators,011200400100,State House Of Assembly Service Commission,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,8000000.0,0.0,10000000.0,70,0.2565,0.2713
Purchase of 8no. Hisense 1.5 Hp Copper Split Air Conditioner for Comissions Memmbers,011200400100,State House Of Assembly Service Commission,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,8000000.0,0.0,5000000.0,70,0.2721,0.2866
Purchase of 1no. Sygnite Max with Battery And Solar,011200400100,State House Of Assembly Service Commission,12621600,CHANCHAGA,23010119,PURCHASE OF POWER GENERATING SET,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,10000000.0,0.0,5000000.0,70,0.2876,0.3019
Rehabilitation of Information Centre New Bussa,012300100100,Ministry of Information,12630400,BORGU,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70831,BROADCASTING AND PUBLISHING SERVICES,30000000.0,25000000.0,0.0,25000000.0,70,0.3023,0.3172
Rehabilitation of Information Centres: Bida,012300100100,Ministry of Information,12610300,BIDA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70831,BROADCASTING AND PUBLISHING SERVICES,10000000.0,25000000.0,0.0,25000000.0,70,0.3178,0.3325
Establishment of Booster Station at Sarkin pawa,012300100100,Ministry of Information,12621800,MUNYA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70831,BROADCASTING AND PUBLISHING SERVICES,0.0,10000000.0,0.0,30000000.0,70,0.3333,0.3478
"Installation of Solar Energy at NSTV and Radio Complex, Minna",012300100100,Ministry of Information,12621600,CHANCHAGA,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70831,BROADCASTING AND PUBLISHING SERVICES,270550000.0,100000000.0,29601105.6,100000000.0,70,0.3489,0.3631
Repairs and Renovation of Radio Niger Complex.,012300100100,Ministry of Information,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70831,BROADCASTING AND PUBLISHING SERVICES,49450000.0,200000000.0,0.0,180000000.0,70,0.3636,0.3784
NUT.3.SBCC.Activity 1: Promote good dietary habits and healthy lifestyles for all age groups through appropriate social marketing and communication strategies,012300100100,Ministry of Information,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70831,BROADCASTING AND PUBLISHING SERVICES,15000000.0,5000000.0,0.0,10000000.0,70,0.3791,0.4017
NUT.5.SBCC.Activity 2: Strengthen existing Television programs that demonstrate the preparation of meals to incorporate nutrition considerations,012300100100,Ministry of Information,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70831,BROADCASTING AND PUBLISHING SERVICES,5000000.0,5000000.0,0.0,10000000.0,70,0.402,0.4246
Rehabilitation of Information Centre Kontagora,012300100100,Ministry of Information,12631000,KONTAGORA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70831,BROADCASTING AND PUBLISHING SERVICES,0.0,25000000.0,0.0,25000000.0,70,0.4248,0.4395
"Rehabilitation of Information Centre,Mokwa",012300100100,Ministry of Information,12611700,MOKOWA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70831,BROADCASTING AND PUBLISHING SERVICES,0.0,25000000.0,0.0,25000000.0,70,0.4404,0.4548
"i. Production of 10,000 copies of Calendars,and 10,000 copies of Dairies",012300100100,Ministry of Information,12621600,CHANCHAGA,23050102,COMPUTER SOFTWARE ACQUISITION,70831,BROADCASTING AND PUBLISHING SERVICES,0.0,0.0,0.0,50000000.0,70,0.4559,0.4701
i. Advocacy on the Implementation of Government Policy Across the State,012300100100,Ministry of Information,12621600,CHANCHAGA,23050102,COMPUTER SOFTWARE ACQUISITION,70831,BROADCASTING AND PUBLISHING SERVICES,0.0,0.0,0.0,10000000.0,70,0.4706,0.4854
ii. Implementation of State Government Policies in all the sectors,012300100100,Ministry of Information,12621600,CHANCHAGA,23050102,COMPUTER SOFTWARE ACQUISITION,70831,BROADCASTING AND PUBLISHING SERVICES,0.0,0.0,0.0,10000000.0,70,0.4861,0.5007
Renovation 10no. Offices at NSTV complex,012300200100,Media Corporation TV,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70831,BROADCASTING AND PUBLISHING SERVICES,50000000.0,80000000.0,0.0,150000000.0,70,0.5016,0.516
Installation of Solar Energy Pannel at NSTV Complex,012300200100,Media Corporation TV,12621600,CHANCHAGA,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70831,BROADCASTING AND PUBLISHING SERVICES,0.0,70000000.0,0.0,200000000.0,70,0.5172,0.5313
Purchase and Installation of Broadcasting satelite,012300200100,Media Corporation TV,12642600,STATE WIDE,23030113,REHABILITATION / REPAIRS - ROADS,70831,BROADCASTING AND PUBLISHING SERVICES,30000000.0,30000000.0,0.0,0.0,70,0.5319,0.5466
Purchase of Live Streaming and Production Solution,012300200100,Media Corporation TV,12642600,STATE WIDE,23010113,PURCHASE OF COMPUTERS,70831,BROADCASTING AND PUBLISHING SERVICES,0.0,70000000.0,0.0,0.0,70,0.5474,0.5619
Purshace of 4no. solar power Battery and 14no. Panel at crystal FM Maitumbi,012300300100,Media Corporation (Radio Division),12621600,CHANCHAGA,23010119,PURCHASE OF POWER GENERATING SET,70831,BROADCASTING AND PUBLISHING SERVICES,3320000.0,20000000.0,0.0,50000000.0,70,0.5629,0.5772
Purchase of 8no Air Conditioner and Installation of Buglary Proof,012300300100,Media Corporation (Radio Division),12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70831,BROADCASTING AND PUBLISHING SERVICES,40000000.0,15000000.0,0.0,0.0,70,0.5776,0.5925
"Purchase of 4no Laptops, Computer System and Accessories",012300300100,Media Corporation (Radio Division),12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70831,BROADCASTING AND PUBLISHING SERVICES,3480000.0,6923478.0,0.0,0.0,70,0.5931,0.6078
"Upgrading of FM Transmitter, Minna",012300300100,Media Corporation (Radio Division),12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70831,BROADCASTING AND PUBLISHING SERVICES,600000.0,10076522.0,0.0,0.0,70,0.6087,0.6231
Purchase of 7.5KV BRUHM Generator for the Station Minna,012300300100,Media Corporation (Radio Division),12642600,STATE WIDE,23030119,REHABILITATION / REPAIRS - AIR NAVIGATIONAL EQUIPMENT,70831,BROADCASTING AND PUBLISHING SERVICES,7096127.69,20000000.0,0.0,100000000.0,70,0.6242,0.6384
Purchase of Live Streaming and Production Solution,012300300100,Media Corporation (Radio Division),12642600,STATE WIDE,23010113,PURCHASE OF COMPUTERS,70831,BROADCASTING AND PUBLISHING SERVICES,8087483.33,8000000.0,0.0,0.0,70,0.6389,0.6536
Purchase of 5no. Industrial Printing Machines and Servicing of the Existing Ones,012300400100,Government Printing Press,12621600,CHANCHAGA,23010114,PURCHASE OF COMPUTER PRINTERS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,50000000.0,50000000.0,0.0,40000000.0,70,0.6544,0.6689
Purchase of 2no. Canon camera (350KV),012300500100,Media Corporation (Printing & Publication Division),12621600,CHANCHAGA,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70831,BROADCASTING AND PUBLISHING SERVICES,3000000.0,3500000.0,0.0,7000000.0,70,0.6699,0.6842
Purchase of 2no. Digital recorders and 3no. Hp laptop computers,012300500100,Media Corporation (Printing & Publication Division),12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70831,BROADCASTING AND PUBLISHING SERVICES,8500000.0,6500000.0,0.0,20000000.0,70,0.6846,0.6995
Purchase of additional 3no. A3 Canon Printer (3500),012300500100,Media Corporation (Printing & Publication Division),12621600,CHANCHAGA,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70831,BROADCASTING AND PUBLISHING SERVICES,1500000.0,4000000.0,0.0,5000000.0,70,0.7002,0.7148
Purchase of 1no. Kord 64 Machine,012300500100,Media Corporation (Printing & Publication Division),12621600,CHANCHAGA,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70831,BROADCASTING AND PUBLISHING SERVICES,10000000.0,25000000.0,0.0,0.0,70,0.7157,0.7301
Purchase of 1no. 500KVA Generator,012300500100,Media Corporation (Printing & Publication Division),12621600,CHANCHAGA,23010119,PURCHASE OF POWER GENERATING SET,70831,BROADCASTING AND PUBLISHING SERVICES,5000000.0,10000000.0,0.0,0.0,70,0.7312,0.7454
Purchase of 1no. Industrial Air conditioner,012300500100,Media Corporation (Printing & Publication Division),12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70831,BROADCASTING AND PUBLISHING SERVICES,12000000.0,1000000.0,0.0,0.0,70,0.7459,0.7607
iv. Upgrading of Newsline Online Website,012300500100,Media Corporation (Printing & Publication Division),12621600,CHANCHAGA,23050102,COMPUTER SOFTWARE ACQUISITION,70831,BROADCASTING AND PUBLISHING SERVICES,0.0,0.0,0.0,30000000.0,70,0.7614,0.776
v. Renovation of Newsline Offices,012300500100,Media Corporation (Printing & Publication Division),12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70831,BROADCASTING AND PUBLISHING SERVICES,0.0,0.0,0.0,11000000.0,70,0.777,0.7913
vi. Completion of Perimeter Fence with Security Room,012300500100,Media Corporation (Printing & Publication Division),12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70831,BROADCASTING AND PUBLISHING SERVICES,0.0,0.0,0.0,17000000.0,70,0.7925,0.8066
"Purchase of 30,000 units of Caliber 12 Gauge Cartridges",012400100100,Ministry of Homeland Security,12642600,STATE WIDE,23010128,PURCHASE OF SECURITY EQUIPMENT,70361,PUBLIC ORDER AND SAFETY N.E.C.,0.0,150000000.0,0.0,80000000.0,70,0.8113,0.8178
Purchase of 65 units of Ballistic Jacket vest with one Plate,012400100100,Ministry of Homeland Security,12642600,STATE WIDE,23010128,PURCHASE OF SECURITY EQUIPMENT,70361,PUBLIC ORDER AND SAFETY N.E.C.,440000000.0,65000000.0,0.0,65000000.0,70,0.8268,0.8331
Purchase of 40 units of Ballistic Jacket vest with two Plate,012400100100,Ministry of Homeland Security,12642600,STATE WIDE,23010128,PURCHASE OF SECURITY EQUIPMENT,70361,PUBLIC ORDER AND SAFETY N.E.C.,40000000.0,80000000.0,0.0,80000000.0,71,0.1389,0.1448
Purchase of 95 units of Ballistic Helmet level NIJ,012400100100,Ministry of Homeland Security,12642600,STATE WIDE,23010128,PURCHASE OF SECURITY EQUIPMENT,70361,PUBLIC ORDER AND SAFETY N.E.C.,20000000.0,100000000.0,0.0,100000000.0,71,0.1536,0.1601
Purchase of 15 units of Stun Guns/Tasers,012400100100,Ministry of Homeland Security,12642600,STATE WIDE,23010128,PURCHASE OF SECURITY EQUIPMENT,70361,PUBLIC ORDER AND SAFETY N.E.C.,0.0,20000000.0,0.0,20000000.0,71,0.1691,0.1754
Purchase of 30 units of Radio Communication Gadgets,012400100100,Ministry of Homeland Security,12642600,STATE WIDE,23010128,PURCHASE OF SECURITY EQUIPMENT,70361,PUBLIC ORDER AND SAFETY N.E.C.,0.0,30000000.0,0.0,30000000.0,71,0.1846,0.1907
Purchase of 1 No. Armored Vehicle,012400100100,Ministry of Homeland Security,12642600,STATE WIDE,23010105,PURCHASE OF MOTOR VEHICLES,70361,PUBLIC ORDER AND SAFETY N.E.C.,0.0,1255000000.0,0.0,300000000.0,71,0.1993,0.206
Building of 1 No. Office Accomodation,012400100100,Ministry of Homeland Security,12642600,STATE WIDE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70361,PUBLIC ORDER AND SAFETY N.E.C.,0.0,300000000.0,0.0,0.0,71,0.2108,0.2254
"Purchase of 1no. 16 seater Confrence table and chairs, 8no. Hisense 1.5 Hp Copper Split Air Conditioner,3no. HP Printer, 2no. Photocopier Machine, 10no. HP Laptops and 5no. Desktop computers.",012400100100,Ministry of Homeland Security,12642600,STATE WIDE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70361,PUBLIC ORDER AND SAFETY N.E.C.,0.0,200000000.0,0.0,200000000.0,71,0.2296,0.2523
"ix. Purchase of 24no. PTZ long-range camera, 12no. Fixed wide-angle camera, 6no. Equipment monitoring camera",012400100100,Ministry of Homeland Security,12642600,STATE WIDE,23010128,PURCHASE OF SECURITY EQUIPMENT,70361,PUBLIC ORDER AND SAFETY N.E.C.,0.0,0.0,0.0,480000000.0,71,0.2565,0.2711
x. upgrading of Situation room and reinstallation of CCTV within Minna,012400100100,Ministry of Homeland Security,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70361,PUBLIC ORDER AND SAFETY N.E.C.,0.0,0.0,0.0,145000000.0,71,0.2721,0.2864
"Installation of CCTV Cameras at the Abdulkareem Lafene Secretariat Complex, Minna",012500100100,Head of Civil Service,12621600,CHANCHAGA,23010128,PURCHASE OF SECURITY EQUIPMENT,70131,GENERAL PERSONNEL SERVICES,4250000000.0,80000000.0,0.0,100000000.0,71,0.2876,0.3017
"Construction of Perimeter Fence at Archives Premises, Minna",012500100100,Head of Civil Service,12621600,CHANCHAGA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,0.0,20000000.0,0.0,20000000.0,71,0.3023,0.317
Installation of Solar Light at the New Secretariate Complex,012500100100,Head of Civil Service,12621600,CHANCHAGA,23020123,CONSTRUCTION OF TRAFFIC /STREET LIGHTS,70131,GENERAL PERSONNEL SERVICES,10000000.0,200000000.0,0.0,30000000.0,71,0.3178,0.3323
Procurement of 1No. 2000KVA Generating Set (Mikano),012500100100,Head of Civil Service,12621600,CHANCHAGA,23010119,PURCHASE OF POWER GENERATING SET,70131,GENERAL PERSONNEL SERVICES,50000000.0,250000000.0,0.0,200000000.0,71,0.3333,0.3476
"Purchase of 16,000no Executive Chairs and Tables for Directors",012500100100,Head of Civil Service,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,20000000.0,560000000.0,0.0,500000000.0,71,0.348,0.3629
"Purchase of 13,000no Armless Chairs and Tables for Other Officers",012500100100,Head of Civil Service,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,20000000.0,390000000.0,0.0,500000000.0,71,0.3636,0.3782
Remodelling & renovation of state secretariate complex,012500100100,Head of Civil Service,12642600,STATE WIDE,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,0.0,0.0,0.0,4000000000.0,71,0.3791,0.3934
purchase of service Books,012500100100,Head of Civil Service,12642600,STATE WIDE,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70131,GENERAL PERSONNEL SERVICES,0.0,0.0,0.0,50000000.0,71,0.3946,0.4087
"Purchase of 4no. Hp laptop, 3no. Desktop Computers and installation of software interface for Pension Board",012500600100,Niger State Pension Board,12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70133,OTHER GENERAL SERVICES,0.0,16000000.0,0.0,29400000.0,71,0.4093,0.424
Purchase of 10no. Security Solar streetlight at Pension Board,012500600100,Niger State Pension Board,12621600,CHANCHAGA,23010128,PURCHASE OF SECURITY EQUIPMENT,70131,GENERAL PERSONNEL SERVICES,0.0,18000000.0,0.0,0.0,71,0.4289,0.4352
Purchase of Security iron Barbwire,012500600100,Niger State Pension Board,12621600,CHANCHAGA,23010128,PURCHASE OF SECURITY EQUIPMENT,70131,GENERAL PERSONNEL SERVICES,0.0,6000000.0,0.0,0.0,71,0.4444,0.4505
"Purchase 14 executive chairs, 35 sitting chairs, 19 vistors chairs, and 28 office tables",012500600100,Niger State Pension Board,12642600,STATE WIDE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,71021,OLD AGE,0.0,0.0,0.0,5000000.0,71,0.4551,0.4699
Purchase of 14no. Hiasence Air conditioner,012500600100,Niger State Pension Board,12642600,STATE WIDE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,71021,OLD AGE,0.0,0.0,0.0,15600000.0,71,0.4706,0.4852
Renovation of Offices in Minna,014000100100,Office of the Auditor General State,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,0.0,180000000.0,0.0,200000000.0,71,0.4861,0.5005
"Purchase of 2no. Executive tables and chairs, Ceiling fan, 5no. Air conditioner, 5no. Samsumg Television set and 4no. Office cabinet",014000100100,Office of the Auditor General State,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,15000000.0,70000000.0,0.0,40000000.0,71,0.5016,0.5158
Purchase of 50nos HP labtop computers,014000100100,Office of the Auditor General State,12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70131,GENERAL PERSONNEL SERVICES,25000000.0,0.0,0.0,10000000.0,71,0.5204,0.527
Construction of Zonal Audit Office at Chanchaga,014000200100,Office of Auditor General Local Government,12621600,CHANCHAGA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,20000000.0,20000000.0,0.0,20000000.0,71,0.5319,0.5464
Renovation of Block of 5no Offices at Head quarter Minna,014700100100,Civil Service Commission,12642600,STATE WIDE,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,16432571.51,150000000.0,0.0,0.0,71,0.5474,0.5617
Purchase of 9nos Photocopier Machines for CSC,014700100100,Civil Service Commission,12642600,STATE WIDE,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70131,GENERAL PERSONNEL SERVICES,14000000.0,0.0,0.0,18000000.0,71,0.5621,0.577
Purchase of 7no. Printers at CSC,014700100100,Civil Service Commission,12642600,STATE WIDE,23010114,PURCHASE OF COMPUTER PRINTERS,70131,GENERAL PERSONNEL SERVICES,10000000.0,0.0,0.0,12000000.0,71,0.5817,0.5882
Purchase of 10no. Desktop at CSC,014700100100,Civil Service Commission,12642600,STATE WIDE,23010113,PURCHASE OF COMPUTERS,70131,GENERAL PERSONNEL SERVICES,42000000.0,0.0,0.0,8000000.0,71,0.594,0.6003
"Purchase of 22no computers for CSC Provission of 30pieces of 550Watts Solar Panels, 2nos 15KWA Lithium",014700100100,Civil Service Commission,12642600,STATE WIDE,23010113,PURCHASE OF COMPUTERS,70131,GENERAL PERSONNEL SERVICES,10000000.0,0.0,0.0,26000000.0,71,0.6029,0.6176
"Batteries, 2nos MPPT Charge Controller, 2nos 10KVA Inverter for Power Back-up in the CBT Center",014700100100,Civil Service Commission,12642600,STATE WIDE,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70131,GENERAL PERSONNEL SERVICES,4000000.0,0.0,0.0,106000000.0,71,0.6152,0.634
Construction of Area Offices at Bosso,014800100100,State Independent Electoral Commission,12620500,BOSSO,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,52961546.68,250000000.0,0.0,0.0,71,0.6348,0.6489
Purchase of 12no. HP Laptop computer,014800100100,State Independent Electoral Commission,12642600,STATE WIDE,23010113,PURCHASE OF COMPUTERS,70133,OTHER GENERAL SERVICES,27000000.0,0.0,0.0,10000000.0,71,0.6495,0.6642
Renovation of 4no. Of Block of offices at the state INEC Headquaters,014800100100,State Independent Electoral Commission,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,18000000.0,0.0,0.0,30000000.0,71,0.665,0.6795
Renovation of Area Offices across the state,014800100100,State Independent Electoral Commission,12642600,STATE WIDE,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70161,GENERAL PUBLIC SERVICES N.E.C.,0.0,0.0,0.0,32000000.0,71,0.6806,0.6948
Monitoring of Conduct of elections across the state,014800100100,State Independent Electoral Commission,12642600,STATE WIDE,23050103,MONITORING AND EVALUATION,70161,GENERAL PUBLIC SERVICES N.E.C.,0.0,0.0,0.0,108000000.0,71,0.6953,0.7101
"Renovation of the Newly Allocated Office at the Old Secretariat, Minna",014900100100,Local Government Service Commission,12621600,CHANCHAGA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,0.0,30000000.0,0.0,40000000.0,71,0.7108,0.7254
"Construction of Car Park at Local Government Commission, Minna",014900100100,Local Government Service Commission,12642600,STATE WIDE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,0.0,10000000.0,0.0,0.0,71,0.7263,0.7407
Purchase of Additional 15nos Desk top Computers,014900100100,Local Government Service Commission,12642600,STATE WIDE,23010113,PURCHASE OF COMPUTERS,70131,GENERAL PERSONNEL SERVICES,0.0,10000000.0,0.0,30000000.0,71,0.7418,0.756
Construction of 1no Guest House at Lemu,016100100100,Office of the Secretary to the State Government,12621600,CHANCHAGA,23020102,CONSTRUCTION / PROVISION OF RESIDENTIAL BUILDINGS,70133,OTHER GENERAL SERVICES,150000000.0,100000000.0,80000000.0,0.0,71,0.7565,0.7713
Renovation of Government Lodge at Agaie,016100100100,Office of the Secretary to the State Government,12621600,CHANCHAGA,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70133,OTHER GENERAL SERVICES,385000000.0,68000000.0,50000000.0,0.0,71,0.7721,0.7866
